country,day.start,day.end,Rt,lower,upper
40,braz,41,46,1.12584171033253,1.10356311463173,1.14469645055261
35,chil,36,41,1.07817476489733,1.03555445545508,1.11455231406652
34,ecua,35,40,1.21585839223081,1.17610435252944,1.24968966144544
33,arge,34,39,0.980108124937807,0.900462909388962,1.04933910774781
32,peru,33,38,1.21281660203177,1.17789052164841,1.24248942596193
29,colo,30,35,1.04639276399029,0.984711594503159,1.09948518997786
28,para,29,34,1.40453610553241,1.02447827324699,1.7657401898382
27,bolo,28,33,1.2613900236124,1.06443790157468,1.43849505961909
25,urug,26,31,1.03157548614294,0.837482843424033,1.20874976771088
251,vene,26,31,0.920597332381983,0.589844081557816,1.24991741670644
