"","Continent_Name","cont_id","geo.id","dateRep","day","month","year","cases","deaths","countryterritoryCode","popData2018","countries","cumsu.c","cumsu.d",".id","countries.f"
"1","South America","SA","AR",2020-03-04,4,3,2020,1,0,"ARG",44494502,"Argentina",1,0,1,"Argentina"
"2","South America","SA","AR",2020-03-06,6,3,2020,1,0,"ARG",44494502,"Argentina",2,0,2,"Argentina"
"3","South America","SA","AR",2020-03-07,7,3,2020,6,0,"ARG",44494502,"Argentina",8,0,3,"Argentina"
"4","South America","SA","AR",2020-03-08,8,3,2020,1,1,"ARG",44494502,"Argentina",9,1,4,"Argentina"
"5","South America","SA","AR",2020-03-09,9,3,2020,3,0,"ARG",44494502,"Argentina",12,1,5,"Argentina"
"6","South America","SA","AR",2020-03-11,11,3,2020,7,0,"ARG",44494502,"Argentina",19,1,6,"Argentina"
"7","South America","SA","AR",2020-03-13,13,3,2020,12,0,"ARG",44494502,"Argentina",31,1,7,"Argentina"
"8","South America","SA","AR",2020-03-14,14,3,2020,3,1,"ARG",44494502,"Argentina",34,2,8,"Argentina"
"9","South America","SA","AR",2020-03-15,15,3,2020,11,0,"ARG",44494502,"Argentina",45,2,9,"Argentina"
"10","South America","SA","AR",2020-03-16,16,3,2020,11,0,"ARG",44494502,"Argentina",56,2,10,"Argentina"
"11","South America","SA","AR",2020-03-17,17,3,2020,9,0,"ARG",44494502,"Argentina",65,2,11,"Argentina"
"12","South America","SA","AR",2020-03-18,18,3,2020,14,0,"ARG",44494502,"Argentina",79,2,12,"Argentina"
"13","South America","SA","AR",2020-03-19,19,3,2020,18,0,"ARG",44494502,"Argentina",97,2,13,"Argentina"
"14","South America","SA","AR",2020-03-20,20,3,2020,31,1,"ARG",44494502,"Argentina",128,3,14,"Argentina"
"15","South America","SA","AR",2020-03-21,21,3,2020,30,0,"ARG",44494502,"Argentina",158,3,15,"Argentina"
"16","South America","SA","AR",2020-03-22,22,3,2020,67,1,"ARG",44494502,"Argentina",225,4,16,"Argentina"
"17","South America","SA","AR",2020-03-23,23,3,2020,41,0,"ARG",44494502,"Argentina",266,4,17,"Argentina"
"18","South America","SA","AR",2020-03-24,24,3,2020,35,0,"ARG",44494502,"Argentina",301,4,18,"Argentina"
"19","South America","SA","AR",2020-03-25,25,3,2020,86,2,"ARG",44494502,"Argentina",387,6,19,"Argentina"
"20","South America","SA","AR",2020-03-26,26,3,2020,115,2,"ARG",44494502,"Argentina",502,8,20,"Argentina"
"21","South America","SA","AR",2020-03-27,27,3,2020,87,4,"ARG",44494502,"Argentina",589,12,21,"Argentina"
"22","South America","SA","AR",2020-03-28,28,3,2020,101,5,"ARG",44494502,"Argentina",690,17,22,"Argentina"
"23","South America","SA","AR",2020-03-29,29,3,2020,55,2,"ARG",44494502,"Argentina",745,19,23,"Argentina"
"24","South America","SA","AR",2020-03-30,30,3,2020,75,1,"ARG",44494502,"Argentina",820,20,24,"Argentina"
"25","South America","SA","AR",2020-03-31,31,3,2020,146,4,"ARG",44494502,"Argentina",966,24,25,"Argentina"
"26","South America","SA","AR",2020-04-01,1,4,2020,0,0,"ARG",44494502,"Argentina",966,24,26,"Argentina"
"27","South America","SA","AR",2020-04-02,2,4,2020,167,7,"ARG",44494502,"Argentina",1133,31,27,"Argentina"
"28","South America","SA","AR",2020-04-03,3,4,2020,0,3,"ARG",44494502,"Argentina",1133,34,28,"Argentina"
"29","South America","SA","AR",2020-04-04,4,4,2020,132,3,"ARG",44494502,"Argentina",1265,37,29,"Argentina"
"30","South America","SA","AR",2020-04-05,5,4,2020,186,6,"ARG",44494502,"Argentina",1451,43,30,"Argentina"
"31","South America","SA","AR",2020-04-06,6,4,2020,103,3,"ARG",44494502,"Argentina",1554,46,31,"Argentina"
"32","South America","SA","AR",2020-04-07,7,4,2020,74,7,"ARG",44494502,"Argentina",1628,53,32,"Argentina"
"33","South America","SA","AR",2020-04-08,8,4,2020,87,7,"ARG",44494502,"Argentina",1715,60,33,"Argentina"
"34","South America","SA","AR",2020-04-09,9,4,2020,80,5,"ARG",44494502,"Argentina",1795,65,34,"Argentina"
"35","South America","SA","AR",2020-04-10,10,4,2020,99,14,"ARG",44494502,"Argentina",1894,79,35,"Argentina"
"36","South America","SA","AR",2020-04-11,11,4,2020,81,3,"ARG",44494502,"Argentina",1975,82,36,"Argentina"
"37","South America","SA","AR",2020-04-12,12,4,2020,162,7,"ARG",44494502,"Argentina",2137,89,37,"Argentina"
"38","South America","SA","AR",2020-04-13,13,4,2020,66,6,"ARG",44494502,"Argentina",2203,95,38,"Argentina"
"39","South America","SA","AR",2020-04-14,14,4,2020,69,3,"ARG",44494502,"Argentina",2272,98,39,"Argentina"
"40","South America","SA","BO",2020-03-12,12,3,2020,2,0,"BOL",11353142,"Bolivia",2,0,1,"Bolivia"
"41","South America","SA","BO",2020-03-13,13,3,2020,1,0,"BOL",11353142,"Bolivia",3,0,2,"Bolivia"
"42","South America","SA","BO",2020-03-14,14,3,2020,7,0,"BOL",11353142,"Bolivia",10,0,3,"Bolivia"
"43","South America","SA","BO",2020-03-15,15,3,2020,0,0,"BOL",11353142,"Bolivia",10,0,4,"Bolivia"
"44","South America","SA","BO",2020-03-17,17,3,2020,1,0,"BOL",11353142,"Bolivia",11,0,5,"Bolivia"
"45","South America","SA","BO",2020-03-18,18,3,2020,1,0,"BOL",11353142,"Bolivia",12,0,6,"Bolivia"
"46","South America","SA","BO",2020-03-19,19,3,2020,0,0,"BOL",11353142,"Bolivia",12,0,7,"Bolivia"
"47","South America","SA","BO",2020-03-20,20,3,2020,3,0,"BOL",11353142,"Bolivia",15,0,8,"Bolivia"
"48","South America","SA","BO",2020-03-21,21,3,2020,4,0,"BOL",11353142,"Bolivia",19,0,9,"Bolivia"
"49","South America","SA","BO",2020-03-22,22,3,2020,1,0,"BOL",11353142,"Bolivia",20,0,10,"Bolivia"
"50","South America","SA","BO",2020-03-23,23,3,2020,7,0,"BOL",11353142,"Bolivia",27,0,11,"Bolivia"
"51","South America","SA","BO",2020-03-24,24,3,2020,1,0,"BOL",11353142,"Bolivia",28,0,12,"Bolivia"
"52","South America","SA","BO",2020-03-25,25,3,2020,4,0,"BOL",11353142,"Bolivia",32,0,13,"Bolivia"
"53","South America","SA","BO",2020-03-26,26,3,2020,7,0,"BOL",11353142,"Bolivia",39,0,14,"Bolivia"
"54","South America","SA","BO",2020-03-27,27,3,2020,22,0,"BOL",11353142,"Bolivia",61,0,15,"Bolivia"
"55","South America","SA","BO",2020-03-28,28,3,2020,13,0,"BOL",11353142,"Bolivia",74,0,16,"Bolivia"
"56","South America","SA","BO",2020-03-29,29,3,2020,7,0,"BOL",11353142,"Bolivia",81,0,17,"Bolivia"
"57","South America","SA","BO",2020-03-30,30,3,2020,15,3,"BOL",11353142,"Bolivia",96,3,18,"Bolivia"
"58","South America","SA","BO",2020-03-31,31,3,2020,11,3,"BOL",11353142,"Bolivia",107,6,19,"Bolivia"
"59","South America","SA","BO",2020-04-01,1,4,2020,8,1,"BOL",11353142,"Bolivia",115,7,20,"Bolivia"
"60","South America","SA","BO",2020-04-02,2,4,2020,8,1,"BOL",11353142,"Bolivia",123,8,21,"Bolivia"
"61","South America","SA","BO",2020-04-03,3,4,2020,9,1,"BOL",11353142,"Bolivia",132,9,22,"Bolivia"
"62","South America","SA","BO",2020-04-04,4,4,2020,7,1,"BOL",11353142,"Bolivia",139,10,23,"Bolivia"
"63","South America","SA","BO",2020-04-05,5,4,2020,18,0,"BOL",11353142,"Bolivia",157,10,24,"Bolivia"
"64","South America","SA","BO",2020-04-06,6,4,2020,26,1,"BOL",11353142,"Bolivia",183,11,25,"Bolivia"
"65","South America","SA","BO",2020-04-07,7,4,2020,11,3,"BOL",11353142,"Bolivia",194,14,26,"Bolivia"
"66","South America","SA","BO",2020-04-08,8,4,2020,16,1,"BOL",11353142,"Bolivia",210,15,27,"Bolivia"
